Ship,Pup,Pack,Dire,Planetary
Armageddon,714606440,631992248,590685152,152064000
Apocalypse Striker,1826526294,1616322788,1511221035,228019000
Apocalypse,705501325,624101149,583401060,149829500
Abaddon,1737713025,1539351288,1440170420,215173000
Megathron Striker,1626981646,1443384093,1351585317,227882500
Dominix,723990304,640124930,598192243,150453500
Megathron,718698174,635538417,593958539,149187500
Hyperion,1726227769,1529397400,1430982215,244307000
Rattlesnake,4386363105,3874848025,3619090484,457465500
Machariel,4238633848,3753482668,3510907078,501822000
Bhaalgorn,4664803118,4129496035,3861842494,483906500
Nestor,4540987473,4015522476,3752789978,465073500
Barghest,4398936357,3885744843,3629149086,458965500
Nightmare,4483717945,3965888885,3706974356,468107000
Vindicator,4435396425,3924010235,3668317140,452612500
Tayra,35965863,31770415,29672691,13083000
Badger,146522718,129653022,121218174,22446500
Badger II,456657955,403770228,377326364,57579500
Wreathe,157414585,139092641,129931668,22023000
Mammoth,42087369,37075719,34569895,13944000
Wreathe II,458546665,405407109,378837332,57254500
Bestower,37187867,32829485,30650294,13368000
Sigil,141838677,125593520,117470942,21169500
Sigil II,450158617,398137468,372126894,57350500
Kryos,39352076,34771799,32481661,14425500
Nereus,138603386,122789601,114882709,21218000
Nereus II,406114785,359966147,336891828,58215000
Nereus High Mobility,25193346,22234233,20754677,7827500
Nereus Combat,56233532,49735728,46486826,10050500
Nereus Hauling,100394393,89008474,83315515,12773000
Imicus High Mobility,175688,160263,152551,481000
Humpback High Mobility,417366958,369718031,345893567,82727500
Humpback Hauling,711479439,629948847,589183551,84333000
Humpback Combat,726776863,643206615,601421490,86442500
Retriever,86069444,76593518,71855556,14655500
Procurer,209524721,185588091,173619777,36487500
Covetor,483346623,428233740,400677298,58123000
Venture,219581,200304,190665,600500
Venture II,2105275,1864571,1744220,936000
Venture III,8972324,7976014,7477859,2563000
